,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
10,Nailed It!,True,N/A,N/A,2018–,TV-PG,09 Mar 2018,33 min,"Game-Show, Reality-TV",N/A,N/A,"Nicole Byer, Jacques Torres, Weston Bahr","Home bakers with a terrible track record take a crack at re- creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",English,United States,Nominated for 5 Primetime Emmys. 1 win & 29 nominations total,https://m.media-amazon.com/images/M/MV5BYzZkMzBlZDgtOTFjOS00MDM2LTlkYTctMGJiM2FkYzBmZDVhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"4,656",tt6987788,series,6,N/A,N/A,N/A,N/A
11,How to Fix a Drug Scandal,True,N/A,N/A,2020,TV-MA,01 Apr 2020,211 min,"Documentary, Crime",N/A,N/A,"Shannon O'Neill, Paul Solotaroff, Karl Kenzler","Two Massachusetts drug-testing laboratory technicians are caught tampering with and falsifying drug evidence, and prosecutors are reluctant to disclose the full extent of their criminal behavior.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWU1NTM0MWEtYTEyZC00OTViLWE2NjQtZDI3ODMwZDJkNmI5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"3,224",tt11958942,series,1,N/A,N/A,N/A,N/A
12,The Roommate,True,N/A,N/A,2011,PG-13,04 Feb 2011,91 min,Thriller,Christian E. Christiansen,Sonny Mallhi,"Minka Kelly, Leighton Meester, Cam Gigandet","When college freshman Sara arrives on campus for the first time, she befriends her roommate, Rebecca, unaware that the girl is becoming dangerously obsessed with her.",English,United States,7 nominations,https://m.media-amazon.com/images/M/MV5BNDg1MTQ4ZmYtYmUyNi00YTJiLTg1YTItYWUwNWY4NjZmOTdjXkEyXkFqcGdeQXVyMTA5NTExNDAw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",23,4.8,"38,375",tt1265990,movie,N/A,17 May 2011,"$37,300,000",N/A,N/A
13,The Players Club,True,N/A,N/A,1998,R,08 Apr 1998,104 min,"Comedy, Drama",Ice Cube,Ice Cube,"LisaRaye McCoy, Dick Anthony Williams, Judyann Elder",A woman must contend with rival strippers and her boss in an attempt to make a legitimate living.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTY0NDgwNzg4Ml5BMl5BanBnXkFtZTcwNzg3NTU0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}]",N/A,5.9,"6,727",tt0119905,movie,N/A,14 Sep 1999,"$23,047,939",N/A,N/A
14,Salt,True,N/A,N/A,2010,PG-13,23 Jul 2010,100 min,"Action, Thriller",Phillip Noyce,Kurt Wimmer,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,"English, Russian, Korean",United States,Nominated for 1 Oscar. 4 wins & 16 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyODA2NDg4NV5BMl5BanBnXkFtZTcwMjg4NDAwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.4,"310,514",tt0944835,movie,N/A,02 Nov 2010,"$118,311,368",N/A,N/A
15,Money Heist,True,N/A,N/A,2017–2021,TV-MA,02 May 2017,70 min,"Action, Crime, Drama",N/A,Álex Pina,"Úrsula Corberó, Álvaro Morte, Itziar Ituño",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"Spanish, Russian, Serbian, English",Spain,34 wins & 42 nominations,https://m.media-amazon.com/images/M/MV5BNDJkYzY3MzMtMGFhYi00MmQ4LWJkNTgtZGNiZWZmMTMxNzdlXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"453,089",tt6468322,series,5,N/A,N/A,N/A,N/A
16,Coffee,True,N/A,N/A,2004,N/A,04 Sep 2004,10 min,"Short, Comedy, Romance",Todd Bartoo,Todd Bartoo,"Christy Geslain, Alison Haislip, Cameron Northey","Some people take their coffee straight, others take it with a little cream and sugar.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTVlMTZhM2QtMTU5Zi00OGQzLWJhMDItNGUxNWMxZDUxMjQzXkEyXkFqcGdeQXVyNjc2NjkzNTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,97,tt0421122,movie,N/A,N/A,N/A,N/A,N/A
17,Angel Has Fallen,True,N/A,N/A,2019,R,23 Aug 2019,121 min,"Action, Thriller",Ric Roman Waugh,"Robert Mark Kamen, Matt Cook, Ric Roman Waugh","Gerard Butler, Frederick Schmidt, Danny Huston",Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BYmRmMWZhZGItYzA4MC00ZDYyLWE0OTMtYmM0MWRiN2Q4NGU2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.4,"94,288",tt6189022,movie,N/A,27 Aug 2019,"$69,030,436",N/A,N/A
18,The Hangover,True,N/A,N/A,2009,R,05 Jun 2009,100 min,Comedy,Todd Phillips,"Jon Lucas, Scott Moore","Zach Galifianakis, Bradley Cooper, Justin Bartha","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",English,"United States, Germany",Nominated for 1 BAFTA Award13 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BNGQwZjg5YmYtY2VkNC00NzliLTljYTctNzI5NmU3MjE2ODQzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.7,"765,789",tt1119646,movie,N/A,15 Dec 2009,"$277,339,746",N/A,N/A
19,The Big Show Show,True,N/A,N/A,2020,TV-G,06 Apr 2020,N/A,Comedy,N/A,"Jason Berger, Josh Bycel","Paul Wight, Allison Munn, Reylynn Caster","When Big Show's teenage daughter comes to live with him and his wife and two other daughters, he quickly becomes outnumbered and outsmarted. Despite being 7 feet tall and weighing 400 pounds, he is no longer the center of attention.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BN2U2ZGE0MGMtODczOC00NzM4LTkyMTAtY2ViNmRjMzMwMzVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"2,375",tt10726356,series,1,N/A,N/A,N/A,N/A
20,Legacies,True,N/A,N/A,2018–,TV-14,25 Oct 2018,45 min,"Adventure, Drama, Fantasy",N/A,Julie Plec,"Danielle Rose Russell, Aria Shahghasemi, Quincy Fouse","Hope Mikaelson, a tribrid daughter of a Vampire/Werewolf hybrid, makes her way in the world.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BZmMwNDczMDUtNDU0Mi00MjIyLWI1NTktNzM4Yzc1MTNmZDIxXkEyXkFqcGdeQXVyOTQ0NTEzMzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"28,459",tt8103070,series,4,N/A,N/A,N/A,N/A
21,Community,True,N/A,N/A,2009–2015,TV-14,17 Sep 2009,22 min,Comedy,N/A,Dan Harmon,"Joel McHale, Danny Pudi, Donald Glover",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,English,United States,Won 1 Primetime Emmy. 19 wins & 71 nominations total,https://m.media-amazon.com/images/M/MV5BNDQ5NDZiYjktZmFmMy00MjAxLTk1MDktOGZjYTY5YTE1ODdmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"250,992",tt1439629,series,6,N/A,N/A,N/A,N/A
22,Love Wedding Repeat,True,N/A,N/A,2020,TV-MA,10 Apr 2020,100 min,"Comedy, Romance",Dean Craig,"Dean Craig, Francis Nief, Christelle Raynal","Sam Claflin, Olivia Munn, Freida Pinto","While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the s...",English,"United Kingdom, Italy",N/A,https://m.media-amazon.com/images/M/MV5BZGEwZDNmNTktOGNmMi00ZmRlLTljYzItNWJkZDc2OTcxZmZjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.5,"20,157",tt5096470,movie,N/A,11 Apr 2020,N/A,N/A,N/A
23,Code 8,True,N/A,N/A,2019,Not Rated,13 Dec 2019,98 min,"Action, Crime, Drama",Jeff Chan,"Chris Pare, Jeff Chan","Kari Matchett, Robbie Amell, Penny Eizenga",A super-powered construction worker falls in with a group of criminals in order to raise the funds to help his ill mother.,English,Canada,1 nomination,https://m.media-amazon.com/images/M/MV5BNmQ2NWMyZDgtNWQ5My00ZmQwLWE0MTQtN2ZiNjY2ODc0Y2YxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.1,"39,147",tt6259380,movie,N/A,13 Dec 2019,N/A,N/A,N/A
24,Hop,True,N/A,N/A,2011,PG,01 Apr 2011,95 min,"Animation, Adventure, Comedy",Tim Hill,"Cinco Paul, Ken Daurio, Brian Lynch","Russell Brand, James Marsden, Elizabeth Perkins","E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","English, Chinese, Spanish, French, Ukrainian",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTY4MDcxNTkzNV5BMl5BanBnXkFtZTcwMTg2MDY2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.4,"34,030",tt1411704,movie,N/A,23 Mar 2012,"$108,498,305",N/A,N/A
25,The Main Event,True,N/A,N/A,1979,PG,22 Jun 1979,112 min,"Comedy, Romance, Sport",Howard Zieff,"Gail Parent, Andrew Smith","Barbra Streisand, Ryan O'Neal, Paul Sand",A bankrupt entrepreneur attempts to recoup some of her losses by getting a washed-out boxer she picked up as a tax loss back into the ring - an idea her protégé isn't fond of.,English,United States,4 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BYzg5MWFmMTItNzg0NC00NDk2LTg1OWUtOTlhZGRjZWM4MTAyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",N/A,5.5,"2,911",tt0079510,movie,N/A,01 Jul 2003,"$42,800,000",N/A,N/A
26,Chris DâElia: No Pain,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,The Innocence Files,True,N/A,N/A,2020,TV-MA,15 Apr 2020,573 min,"Documentary, Crime",N/A,N/A,"Peter Neufeld, Barry Scheck, Michael West",Cases of wrongful conviction that the Innocence Project and organizations within the Innocence Network have worked to highlight and overturn.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzNjYWI4MzYtMDI5Ni00Y2IyLTk4MGYtMGNlYmJlMjMwMGY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"2,709",tt11958922,series,1,N/A,N/A,N/A,N/A
28,Outer Banks,True,N/A,N/A,2020–,TV-MA,15 Apr 2020,50 min,"Action, Crime, Drama",N/A,"Shannon Burke, Jonas Pate, Josh Pate","Chase Stokes, Madelyn Cline, Madison Bailey",A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,English,United States,3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BODRkZDYyMmUtYWE3MS00NzBkLWI3ZWYtMDU4YTUzODQwN2Y3XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"42,720",tt10293938,series,3,N/A,N/A,N/A,N/A
29,Despicable Me,True,N/A,N/A,2010,PG,09 Jul 2010,95 min,"Animation, Adventure, Comedy","Pierre Coffin, Chris Renaud","Cinco Paul, Ken Daurio, Sergio Pablos","Steve Carell, Jason Segel, Russell Brand","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",English,"United States, France",Nominated for 1 BAFTA Award3 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"532,139",tt1323594,movie,N/A,14 Dec 2010,"$251,557,985",N/A,N/A
30,Too Hot to Handle,True,N/A,N/A,2020–,TV-MA,17 Apr 2020,40 min,"Game-Show, Reality-TV, Romance",N/A,N/A,"Desiree Burch, Carly Lawrence, Emily Miller","On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex.",English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BYmM0M2M3N2YtMzQ2OS00YTIzLTk4MWQtNzg1ZWFmNzE3NTEzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,"12,020",tt12004280,series,3,N/A,N/A,N/A,N/A
31,#blackAF,False,No API key provided.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,Waco,True,N/A,N/A,2018,TV-14,24 Jan 2018,292 min,"Crime, Drama, History",N/A,"Drew Dowdle, John Erick Dowdle","Michael Shannon, Taylor Kitsch, Andrea Riseborough","The FBI and ATF seize religious leader David Koresh's Branch Davidian compound near Waco, Texas in the spring of 1993.",English,United States,Nominated for 3 Primetime Emmys. 5 nominations total,https://m.media-amazon.com/images/M/MV5BODU3NzAxNDctNWJlZi00NDRjLWJiMGYtYmU3YTk4NGI2ZjM2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"20,051",tt6040674,series,1,N/A,N/A,N/A,N/A
33,The Green Hornet,True,N/A,N/A,2011,PG-13,14 Jan 2011,119 min,"Action, Comedy, Crime",Michel Gondry,"Seth Rogen, Evan Goldberg, George W. Trendle","Seth Rogen, Jay Chou, Christoph Waltz","Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team.","English, Mandarin",United States,4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BYjlhN2U3OWUtNThiNi00ZWRhLWFlZDktOTcyMDk0NmM1OTA4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.8,"159,782",tt0990407,movie,N/A,03 May 2011,"$98,780,042",N/A,N/A
34,Cooked with Cannabis,True,N/A,N/A,2020–,TV-MA,20 Apr 2020,N/A,Reality-TV,N/A,N/A,"Kelis, Leather Storrs, Mary Lynn Rajskub","Cooked with Cannabis is a competitive cooking show where three chefs make cannabis infused meals for a chance to win $10,000. Co-hots Kelis and Leather Storrs judge the contestants with the assistance of their ""best buds"" who are ...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWU2YjIwMTYtMmUyMi00ZmJkLWEzN2EtNjViZGQ1NDY0ZjdmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,340,tt12176398,series,1,N/A,N/A,N/A,N/A
35,The Willoughbys,True,N/A,N/A,2020,PG,22 Apr 2020,90 min,"Animation, Adventure, Comedy","Kris Pearn, Cory Evans, Rob Lodermeier","Kris Pearn, Mark Stanleigh, Lois Lowry","Will Forte, Maya Rudolph, Alessia Cara","Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",English,"Canada, United States, United Kingdom",16 nominations,https://m.media-amazon.com/images/M/MV5BNDk3M2IyMmItNmEzMy00NGY5LTg5YmUtY2IwMTlhMTdmN2E1XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.3,"18,196",tt5206260,movie,N/A,22 Apr 2020,N/A,N/A,N/A
36,Absurd Planet,True,N/A,N/A,2020–,TV-PG,22 Apr 2020,N/A,Documentary,N/A,N/A,"Afi Ekulona, Steven Marmalstein, Thomas Mitchell","A funny science series that offers an inside look into the lives of the planet's most intriguing animals, with narration provided by a cast of quirky animal creatures, as well as Mother Nature herself.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BODFmNDkyYmEtNGFjYi00NGIxLThjZWMtMDVlY2EzNmY0MGI1XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,"1,463",tt12027008,series,1,N/A,N/A,N/A,N/A
37,Extraction,True,N/A,N/A,2020,R,24 Apr 2020,116 min,"Action, Thriller",Sam Hargrave,"Joe Russo, Ande Parks, Anthony Russo","Chris Hemsworth, Bryon Lerum, Ryder Lerum","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","English, Hindi, Bengali",United States,2 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMDJiNzUwYzEtNmQ2Yy00NWE4LWEwNzctM2M0MjE0OGUxZTA3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.7,"191,003",tt8936646,movie,N/A,25 Apr 2020,N/A,N/A,N/A
